setare_viteza_operare,setare_sarcina_utila,senz_temperatura_articulatie_3,senz_vibratii_efector_final,senz_curent_consumat_motor_1,ore_functionare_de_la_revizie,reteta_productie_activa,prob_cerere_piesa_mecanica_24h,prob_cerere_piesa_electrica_24h,estimare_calitate_produs_finit,estimare_timp_ciclu_secunde
56.61,9.53,55.73,1.1963,11.54,940.0,2,0.05,0.02,87.62,13.58
88.66,2.79,55.38,1.4847,5.18,939.4,2,0.05,0.02,83.76,13.53
84.82,2.55,57.14,1.3713,4.73,941.1,2,0.05,0.02,83.46,13.5
91.71,4.67,55.2,1.5707,6.82,941.1,1,0.3463,0.02,82.25,13.6
61.52,1.63,49.46,1.2838,4.04,943.6,2,0.05,0.02,82.76,13.38
87.68,3.36,56.16,1.5898,6.26,942.7,1,0.473,0.02,79.42,13.35
63.54,5.67,53.99,1.3799,7.45,946.8,0,0.05,0.02,87.96,13.46
57.21,9.51,53.66,1.1178,11.53,943.5,1,0.05,0.02,86.19,13.49
65.62,1.22,53.72,1.3781,3.29,946.0,0,0.05,0.02,81.35,13.4
97.3,7.16,57.42,1.592,9.11,949.0,0,0.4895,0.02,82.65,13.56
85.06,7.01,53.86,1.3963,8.95,950.4,1,0.05,0.02,83.83,13.49
97.57,4.24,59.07,1.3834,6.56,951.8,2,0.05,0.02,82.6,13.52
51.21,5.05,55.17,1.3178,7.47,950.1,1,0.05,0.02,83.13,13.61
67.54,7.06,54.47,1.3213,9.29,952.6,1,0.05,0.02,84.18,13.45
74.86,9.57,56.51,1.2247,11.14,954.8,0,0.05,0.02,83.7,13.47
73.43,5.44,54.42,1.2445,7.4,951.6,0,0.05,0.02,86.11,13.59
66.87,6.34,54.25,1.4599,8.63,956.7,2,0.05,0.02,82.79,13.51
85.8,6.6,57.31,1.3763,8.92,955.6,0,0.05,0.02,84.24,13.55
65.78,1.88,55.6,1.1821,4.39,958.2,1,0.05,0.02,85.86,13.35
87.3,5.17,57.36,1.324,7.65,956.7,2,0.05,0.02,84.43,13.41
71.57,0.96,56.12,1.4813,3.67,957.5,1,0.05,0.02,84.22,13.5
67.38,3.63,55.12,1.3693,6.24,957.9,2,0.05,0.02,85.96,13.57
63.3,2.24,54.31,1.5577,4.42,960.9,0,0.3179,0.02,82.7,13.55
51.26,7.5,55.66,1.1898,9.19,962.5,2,0.05,0.02,87.34,13.46
54.95,8.23,54.9,1.3833,10.15,962.1,0,0.05,0.02,81.77,13.62
70.19,9.98,57.01,1.219,11.95,964.9,0,0.05,0.02,83.68,13.63
56.03,3.99,52.09,1.2497,6.25,965.6,0,0.05,0.02,85.85,13.66
62.37,8.78,56.46,1.1852,10.64,964.0,0,0.05,0.02,85.73,13.55
84.5,3.15,55.54,1.3402,5.53,964.7,1,0.05,0.02,83.99,13.73
58.44,7.47,55.34,1.1775,8.96,967.6,2,0.05,0.02,90.27,13.4
68.11,4.35,53.83,1.3898,6.6,969.4,1,0.05,0.02,83.45,13.59
67.94,1.48,52.1,1.2706,4.07,971.7,2,0.05,0.02,84.97,13.46
92.44,5.07,58.33,1.3537,7.35,970.7,1,0.05,0.02,84.06,13.46
75.52,5.58,55.26,1.265,7.92,972.2,0,0.05,0.02,85.66,13.36
66.25,4.08,55.04,1.3645,6.13,970.2,1,0.05,0.02,86.27,13.55
54.03,6.43,53.52,1.2023,8.23,973.9,0,0.05,0.02,87.67,13.57
56.89,9.76,51.98,1.386,11.6,974.8,1,0.05,0.02,81.84,13.38
93.73,4.98,55.39,1.4275,7.34,973.9,2,0.05,0.02,86.34,13.42
62.7,4.19,54.1,1.3908,6.61,976.8,0,0.05,0.02,81.62,13.36
72.16,6.46,55.53,1.4169,8.71,979.5,2,0.05,0.02,82.23,13.64
51.29,5.76,53.09,1.2589,7.92,977.0,0,0.05,0.02,84.82,13.33
79.4,4.44,57.55,1.4536,6.74,979.4,2,0.05,0.02,81.97,13.45
78.91,9.91,60.8,1.322,11.6,979.6,2,0.05,0.02,83.44,13.55
50.36,8.9,51.82,1.1815,10.58,981.1,2,0.05,0.02,89.63,13.49
73.44,0.79,57.08,1.3632,2.86,981.0,1,0.05,0.02,83.89,13.51
94.06,2.57,56.84,1.4821,5.13,984.6,2,0.05,0.02,82.36,13.59
60.56,4.92,52.74,1.2931,7.36,983.3,1,0.05,0.02,81.33,13.63
83.82,4.23,56.62,1.4116,6.4,987.5,2,0.05,0.02,85.81,13.6
95.63,2.53,57.94,1.5936,5.06,987.8,2,0.3079,0.02,80.35,13.57
65.13,1.31,56.22,1.4291,3.79,988.7,0,0.05,0.02,83.33,13.31
60.77,9.31,56.07,1.2959,11.02,989.6,2,0.05,0.02,86.85,13.51
57.3,1.72,54.2,1.3945,4.15,988.1,1,0.05,0.02,85.04,13.72
52.38,8.62,56.86,1.2522,10.13,992.3,0,0.05,0.02,81.6,13.34
77.57,2.84,55.56,1.2379,5.28,994.0,2,0.05,0.02,86.11,13.61
71.89,5.65,57.26,1.3418,7.66,992.1,2,0.05,0.02,87.68,13.54
67.01,6.65,54.13,1.3179,8.68,994.8,2,0.05,0.02,82.51,13.53
50.86,3.92,53.6,1.3407,6.2,995.9,0,0.05,0.02,84.39,13.73
60.54,0.6,56.14,1.3555,3.34,997.1,2,0.05,0.02,83.11,13.54
65.98,9.35,51.07,1.4305,11.29,998.0,0,0.05,0.02,83.93,13.56
84.77,7.35,58.31,1.4604,9.38,995.8,2,0.05,0.02,84.44,13.43
92.01,6.43,57.86,1.5101,8.27,996.6,0,0.3265,0.02,83.1,13.69
90.13,4.31,57.99,1.3929,6.41,1001.3,1,0.05,0.02,82.57,13.57
81.28,9.09,56.46,1.5952,11.25,1001.6,0,0.4574,0.02,84.31,13.59
91.27,5.82,58.85,1.4404,7.98,1001.8,2,0.05,0.02,84.46,13.47
86.04,9.24,49.3,0.9947,10.4,1.6,1,0.05,0.02,89.9,12.67
97.06,7.96,48.69,1.0927,9.31,2.2,2,0.05,0.02,84.92,12.67
69.86,3.42,48.46,0.7822,5.24,3.3,1,0.05,0.02,86.78,12.43
69.64,1.5,49.15,0.8451,3.09,6.7,1,0.05,0.02,90.45,12.55
62.83,1.93,47.4,0.7829,3.75,5.6,0,0.05,0.02,88.47,12.72
87.78,4.07,48.62,0.7858,5.31,8.4,2,0.05,0.02,90.57,12.59
96.03,1.83,49.79,1.1026,3.63,8.0,0,0.05,0.02,86.41,12.35
59.1,1.99,47.65,0.7693,3.5,8.3,2,0.05,0.02,91.99,12.41
86.24,3.54,48.75,1.0458,5.17,8.4,2,0.05,0.02,86.57,12.34
66.37,3.74,49.21,0.7829,5.33,10.1,0,0.05,0.02,91.34,12.52
78.03,5.09,46.07,0.977,6.4,12.1,2,0.05,0.02,83.69,12.48
81.26,7.12,48.45,0.9372,8.58,13.7,1,0.05,0.02,89.91,12.55
96.47,8.45,53.71,0.9974,9.69,12.4,0,0.05,0.02,86.69,12.58
51.71,1.12,43.79,0.867,3.0,14.2,2,0.05,0.02,91.16,12.54
51.6,1.2,47.44,0.8618,2.98,15.7,2,0.05,0.02,85.72,12.35
78.69,1.33,45.66,0.9439,3.06,17.2,2,0.05,0.02,86.64,12.51
84.39,7.15,48.94,0.8766,8.34,19.3,0,0.05,0.02,89.77,12.65
99.21,6.58,49.27,0.9141,7.93,20.2,1,0.05,0.02,89.19,12.55
56.08,1.01,46.63,0.8424,2.81,20.8,2,0.05,0.02,89.72,12.52
74.19,9.04,47.4,0.8615,10.04,20.3,0,0.05,0.02,89.99,12.53
79.31,1.61,47.05,0.8764,3.47,20.1,1,0.05,0.02,89.5,12.5
84.9,3.22,52.28,0.8791,4.68,22.1,1,0.05,0.02,89.41,12.54
86.98,6.98,47.72,0.7823,8.56,24.6,2,0.05,0.02,86.26,12.47
69.27,1.08,48.58,0.7886,3.2,25.1,2,0.05,0.02,90.12,12.64
91.19,6.97,48.01,0.8939,8.58,25.2,2,0.05,0.02,89.81,12.58
99.88,6.87,51.96,1.1754,8.6,29.0,0,0.05,0.02,86.94,12.61
65.3,4.26,46.87,0.9026,5.45,27.2,0,0.05,0.02,89.93,12.47
51.93,3.85,45.33,0.8912,5.29,28.6,2,0.05,0.02,89.21,12.54
97.92,8.09,47.19,0.9822,8.81,30.1,2,0.05,0.02,87.19,12.33
59.08,3.08,47.31,0.7233,4.88,33.8,0,0.05,0.02,92.37,12.39
96.87,6.71,50.06,1.2115,7.56,34.0,0,0.05,0.02,83.58,12.34
88.22,6.35,48.72,1.1466,7.76,34.8,2,0.05,0.02,85.3,12.41
71.53,3.56,48.06,0.881,5.56,35.2,1,0.05,0.02,88.73,12.59
69.44,0.87,49.21,0.9941,2.33,36.4,1,0.05,0.02,87.37,12.68
96.82,3.58,48.65,1.0996,5.02,36.2,2,0.05,0.02,87.6,12.6
61.94,0.83,50.19,0.8902,2.73,35.1,2,0.05,0.02,90.17,12.6
67.06,9.33,46.58,0.9722,10.58,40.9,2,0.05,0.02,91.26,12.47
96.38,1.27,50.24,0.9758,2.8,41.1,2,0.05,0.02,89.82,12.57
94.6,9.11,49.18,1.0415,9.93,39.5,0,0.05,0.02,89.95,12.43
77.96,3.85,48.0,0.883,5.37,43.7,0,0.05,0.02,86.4,12.34
85.95,8.3,50.31,0.8571,9.46,40.7,1,0.05,0.02,90.43,12.42
95.04,6.07,49.1,0.9977,7.03,41.7,2,0.05,0.02,90.88,12.45
81.99,6.26,49.02,0.8415,7.92,42.9,1,0.05,0.02,90.56,12.55
62.84,0.81,46.0,0.7997,2.67,48.0,0,0.05,0.02,92.3,12.64
66.78,1.29,50.05,1.0174,3.13,47.7,0,0.05,0.02,89.74,12.74
75.58,4.7,46.95,0.848,6.14,48.3,2,0.05,0.02,90.78,12.44
88.6,5.55,49.38,0.7225,7.05,48.7,2,0.05,0.02,92.8,12.6
53.62,6.53,43.16,0.5734,8.04,49.5,2,0.05,0.02,92.19,12.39
63.41,8.39,46.37,0.9559,9.9,52.9,1,0.05,0.02,93.94,12.38
76.01,3.46,46.24,0.8913,4.91,49.8,0,0.05,0.02,88.5,12.43
56.99,3.59,46.92,0.8196,5.07,52.0,1,0.05,0.02,91.04,12.59
53.28,4.19,45.7,0.7628,5.8,52.3,2,0.05,0.02,92.94,12.55
51.06,2.34,44.87,0.7868,4.28,55.8,0,0.05,0.02,91.47,12.58
53.57,1.46,46.26,0.8955,3.29,54.0,2,0.05,0.02,85.07,12.6
76.52,0.63,50.55,0.6699,2.4,54.0,0,0.05,0.02,86.15,12.68
73.04,7.49,48.41,0.9774,8.77,56.1,1,0.05,0.02,90.53,12.37
73.56,3.22,46.25,0.8307,4.54,56.5,0,0.05,0.02,88.42,12.47
82.09,7.44,50.38,0.9754,8.79,58.7,2,0.05,0.02,90.39,12.4
91.37,4.96,48.54,0.968,6.81,60.6,2,0.05,0.02,88.14,12.41
83.87,8.02,50.65,0.8062,8.99,63.7,1,0.05,0.02,90.33,12.57
50.62,7.97,45.74,0.727,8.94,60.8,1,0.05,0.02,91.9,12.37
73.13,9.85,49.34,0.8368,10.95,64.6,1,0.05,0.02,88.37,12.6
71.43,1.67,46.01,0.9528,3.48,64.8,0,0.05,0.02,91.58,12.57
56.15,3.62,44.52,0.7925,5.04,67.8,2,0.05,0.02,91.03,12.47
92.97,8.14,50.16,1.0173,9.17,65.0,0,0.05,0.02,89.34,12.31
89.24,4.14,50.4,0.9918,6.08,69.1,2,0.05,0.02,86.76,12.63
74.01,6.49,47.39,0.7868,7.87,67.9,1,0.05,0.02,92.61,12.4
72.63,5.5,46.8,0.7111,7.02,69.3,0,0.05,0.02,93.41,12.56
73.1,5.88,45.2,0.9544,7.07,68.8,0,0.05,0.02,87.72,12.51
51.18,10.0,44.36,0.9659,11.28,71.1,0,0.05,0.02,91.99,12.58
65.01,5.76,48.41,0.7689,6.9,74.8,0,0.05,0.02,88.67,12.65
68.62,3.61,47.7,0.837,5.13,72.0,0,0.05,0.02,88.13,12.57
61.51,5.56,45.49,0.8636,7.34,76.1,2,0.05,0.02,89.39,12.35
82.55,5.02,47.87,0.9979,6.9,76.6,2,0.05,0.02,88.75,12.51
51.06,7.8,44.67,0.9581,8.99,76.0,0,0.05,0.02,85.89,12.61
89.31,4.99,50.23,0.8573,6.78,78.2,0,0.05,0.02,89.55,12.45
84.04,5.21,47.24,0.9214,6.72,79.6,2,0.05,0.02,86.66,12.36
67.54,9.27,47.44,1.0512,10.32,78.0,2,0.05,0.02,84.66,12.46
50.31,5.46,41.79,0.8188,6.91,78.7,0,0.05,0.02,90.71,12.59
57.45,6.28,47.9,0.7222,7.88,82.9,1,0.05,0.02,89.35,12.46
65.25,3.15,47.46,0.8198,4.92,83.0,1,0.05,0.02,93.41,12.39
86.77,8.39,47.61,0.9277,9.43,85.0,2,0.05,0.02,90.44,12.54
98.56,9.6,51.14,1.0177,10.27,82.2,0,0.05,0.02,90.9,12.63
53.84,3.16,46.42,0.7729,4.71,84.0,0,0.05,0.02,93.87,12.61
74.56,5.95,47.6,0.9533,7.47,86.6,2,0.05,0.02,87.06,12.47
89.87,8.03,50.79,1.0601,9.3,86.1,2,0.05,0.02,85.8,12.77
77.9,7.73,49.54,0.9666,8.93,88.8,0,0.05,0.02,86.18,12.58
80.54,9.05,47.79,0.9899,10.32,87.5,1,0.05,0.02,88.79,12.63
88.71,4.77,49.54,1.0673,6.46,91.8,2,0.05,0.02,89.26,12.66
80.63,4.57,49.86,1.0393,5.89,92.8,0,0.05,0.02,89.73,12.53
97.59,5.79,49.4,0.9862,7.1,91.3,0,0.05,0.02,86.89,12.59
51.46,8.95,43.4,0.8043,9.85,96.0,1,0.05,0.02,93.39,12.67
91.21,1.95,48.05,1.0074,3.84,93.6,1,0.05,0.02,84.28,12.65
66.12,1.16,45.45,0.8257,3.19,93.6,1,0.05,0.02,91.02,12.55
62.27,9.09,44.98,0.9063,10.32,95.7,0,0.05,0.02,89.76,12.55
95.96,0.51,51.43,0.7712,2.7,98.9,0,0.05,0.02,93.61,12.39
68.7,2.34,49.9,0.8261,4.12,100.9,1,0.05,0.02,90.73,12.56
88.94,3.87,49.58,0.9871,5.27,98.2,2,0.05,0.02,87.67,12.42
66.04,7.61,47.47,0.8116,8.43,99.6,1,0.05,0.02,88.05,12.71
70.47,4.05,47.22,1.0097,5.42,100.6,0,0.05,0.02,88.43,12.56
78.42,5.49,48.39,0.8979,6.71,100.1,1,0.05,0.02,87.65,12.51
84.78,2.93,49.27,0.8735,4.49,104.8,0,0.05,0.02,89.47,12.48
79.56,5.37,50.24,0.9878,6.91,104.4,1,0.05,0.02,88.51,12.56
53.91,5.93,46.04,0.844,7.43,105.9,1,0.05,0.02,86.63,12.55
89.84,9.28,49.68,0.9092,10.38,108.7,0,0.05,0.02,92.52,12.4
66.26,4.15,48.02,0.9364,5.85,107.1,0,0.05,0.02,85.86,12.65
88.09,8.97,50.32,0.8327,9.81,109.6,2,0.05,0.02,90.7,12.59
59.78,8.27,47.69,0.8439,9.15,109.5,1,0.05,0.02,89.38,12.6
60.25,3.6,47.79,0.7445,5.48,111.9,1,0.05,0.02,88.57,12.55
50.28,8.99,48.35,0.8436,10.32,112.2,2,0.05,0.02,89.23,12.66
97.87,5.09,49.36,1.21,6.66,112.8,2,0.05,0.02,84.85,12.43
81.49,7.89,50.15,0.9791,9.15,111.2,0,0.05,0.02,86.52,12.6
56.58,1.23,46.85,0.6949,2.87,115.8,1,0.05,0.02,91.6,12.4
91.2,3.94,49.21,0.9778,5.39,116.8,0,0.05,0.02,85.45,12.62
82.78,3.13,49.45,1.0132,4.82,116.7,0,0.05,0.02,86.01,12.68
55.33,3.11,47.7,0.8964,4.58,115.2,1,0.05,0.02,89.6,12.43
69.78,1.22,48.07,0.7898,3.29,116.3,2,0.05,0.02,90.78,12.55
94.82,5.11,48.57,1.1385,6.3,118.8,2,0.05,0.02,92.25,12.4
79.37,6.62,49.33,0.9309,8.08,121.5,1,0.05,0.02,86.04,12.53
62.39,9.21,47.0,0.8729,10.24,119.6,1,0.05,0.02,87.64,12.61
67.54,8.65,48.34,0.9315,9.56,123.2,2,0.05,0.02,89.17,12.58
83.48,5.12,50.53,0.9476,6.23,125.6,1,0.05,0.02,88.12,12.65
70.82,5.78,49.57,0.9148,7.37,126.4,0,0.05,0.02,88.17,12.52
52.71,3.32,46.0,0.8179,4.61,123.6,0,0.05,0.02,90.98,12.53
82.55,5.85,48.8,1.0169,7.48,128.9,2,0.05,0.02,86.69,12.56
64.47,9.36,48.47,0.8965,10.74,127.8,1,0.05,0.02,93.06,12.59
86.73,9.82,51.69,0.9792,10.77,127.3,0,0.05,0.02,87.3,12.59
87.68,8.45,48.6,0.8931,9.82,128.4,1,0.05,0.02,89.45,12.38
61.24,6.28,43.52,1.0019,7.99,131.8,2,0.05,0.02,88.82,12.8
68.35,0.61,48.26,0.8571,2.79,132.3,0,0.05,0.02,87.43,12.35
90.83,9.69,48.54,0.9996,10.76,134.3,2,0.05,0.02,88.23,12.61
92.96,1.9,49.17,0.9625,3.65,136.0,2,0.05,0.02,87.46,12.61
72.5,1.54,49.27,0.9864,3.45,132.6,1,0.05,0.02,89.2,12.53
83.47,0.63,48.54,1.0999,2.87,135.4,0,0.05,0.02,85.12,12.59
99.24,9.23,50.06,1.0139,10.11,137.9,2,0.05,0.02,88.19,12.6
88.42,6.75,49.2,0.9353,8.12,137.5,0,0.05,0.02,86.24,12.42
84.69,3.64,48.85,0.8164,5.3,136.5,0,0.05,0.02,91.77,12.57
75.55,3.88,48.78,0.7983,5.74,141.6,1,0.05,0.02,89.11,12.55
73.27,0.74,44.4,0.7692,2.8,140.0,1,0.05,0.02,89.9,12.76
61.5,8.3,44.62,0.9161,9.02,143.5,2,0.05,0.02,89.33,12.73
92.38,8.66,49.25,1.0765,10.0,142.8,1,0.05,0.02,88.64,12.44
55.06,9.15,45.97,0.9059,10.29,145.2,0,0.05,0.02,90.58,12.56
99.14,3.18,48.85,1.2187,4.82,144.2,1,0.05,0.02,87.43,12.65
75.19,2.8,48.69,0.8489,4.77,144.5,1,0.05,0.02,90.01,12.75
99.29,6.41,48.95,0.9649,8.12,147.1,2,0.05,0.02,90.21,12.67
83.8,9.14,49.09,0.9221,10.46,147.4,2,0.05,0.02,90.76,12.54
57.87,3.36,46.6,0.949,4.92,146.9,2,0.05,0.02,88.99,12.44
80.35,6.14,50.44,1.0303,7.82,147.2,1,0.05,0.02,83.81,12.6
89.97,7.09,50.88,0.8963,8.44,151.6,1,0.05,0.02,90.84,12.67
76.19,7.17,47.14,0.962,8.51,150.8,0,0.05,0.02,90.56,12.57
90.2,7.44,51.22,1.1412,8.72,154.9,1,0.05,0.02,85.57,12.74
62.51,7.88,48.12,0.7454,9.01,151.7,1,0.05,0.02,90.83,12.65
90.06,8.63,49.95,0.9551,9.48,155.7,2,0.05,0.02,88.34,12.55
80.78,4.45,46.88,1.0478,6.04,154.6,2,0.05,0.02,86.72,12.72
61.89,9.15,45.37,0.815,10.13,155.2,0,0.05,0.02,91.91,12.45
63.14,9.42,46.22,0.9915,10.71,157.6,0,0.05,0.02,88.09,12.45
96.78,8.57,50.76,0.9782,9.8,157.0,0,0.05,0.02,85.64,12.67
65.45,2.82,47.08,0.879,4.58,158.5,0,0.05,0.02,95.49,12.54
79.91,9.68,49.75,0.9153,10.51,160.6,2,0.05,0.02,87.29,12.71
95.02,9.95,48.85,1.0088,10.7,159.1,1,0.05,0.02,88.97,12.62
82.22,7.48,50.58,0.8261,8.64,162.3,1,0.05,0.02,89.95,12.79
82.38,8.82,49.88,1.0756,10.06,162.3,0,0.05,0.02,89.68,12.52
91.55,9.88,50.2,0.9924,10.9,166.9,2,0.05,0.02,88.82,12.41
83.22,7.64,48.71,1.0483,8.83,164.1,1,0.05,0.02,89.79,12.67
75.99,8.25,49.65,0.9265,9.64,168.3,2,0.05,0.02,88.14,12.68
97.26,5.4,49.82,1.1688,7.11,167.2,2,0.05,0.02,87.62,12.62
80.09,5.14,50.13,0.8353,6.93,167.3,1,0.05,0.02,92.88,12.62
78.71,9.8,47.49,0.7732,10.69,171.4,1,0.05,0.02,87.65,12.47
92.32,6.51,50.93,0.9233,7.72,170.5,0,0.05,0.02,90.83,12.73
96.33,3.02,52.64,1.1006,4.59,173.7,0,0.05,0.02,83.89,12.53
69.58,7.61,48.8,0.8338,8.98,171.5,1,0.05,0.02,90.15,12.75
90.71,2.05,48.29,1.1258,4.02,175.8,0,0.05,0.02,87.39,12.69
79.47,7.18,50.07,1.0028,8.92,175.9,1,0.05,0.02,91.88,12.43
83.8,6.88,49.31,1.022,8.3,176.5,0,0.05,0.02,88.27,12.57
78.43,7.95,52.39,0.9297,9.0,175.3,2,0.05,0.02,88.23,12.76
70.98,8.84,50.21,0.9131,9.85,175.2,2,0.05,0.02,87.97,12.64
56.43,9.78,47.18,0.8508,10.91,177.7,1,0.05,0.02,87.14,12.46
84.77,2.97,50.55,0.9774,4.81,178.7,2,0.05,0.02,85.41,12.61
93.64,4.16,50.09,0.968,5.81,182.0,2,0.05,0.02,86.1,12.71
78.19,5.05,49.11,0.982,6.99,181.2,1,0.05,0.02,86.21,12.66
68.96,3.13,47.05,0.9823,4.95,182.8,0,0.05,0.02,87.17,12.58
51.92,6.77,45.81,0.8761,8.49,182.0,1,0.05,0.02,88.27,12.47
59.53,1.63,45.49,0.7804,3.63,184.9,0,0.05,0.02,93.28,12.61
81.82,1.24,49.32,0.9759,3.02,184.6,1,0.05,0.02,90.74,12.74
81.43,7.52,50.42,1.0711,8.84,188.6,1,0.05,0.02,88.58,12.73
94.2,1.65,48.92,0.9797,3.58,189.3,2,0.05,0.02,86.21,12.75
54.06,5.25,45.15,0.7589,6.8,186.7,1,0.05,0.02,90.17,12.45
59.72,7.0,48.87,0.8848,8.35,191.3,2,0.05,0.02,88.65,12.42
80.37,4.95,47.31,0.9266,6.64,190.0,2,0.05,0.02,90.45,12.69
61.61,2.99,49.14,0.8633,4.79,190.4,2,0.05,0.02,88.01,12.58
57.73,3.26,46.37,0.9715,5.01,190.4,1,0.05,0.02,85.8,12.84
92.2,7.25,48.88,1.0244,8.47,194.8,1,0.05,0.02,89.97,12.54
60.59,6.11,46.64,0.9104,7.65,195.1,2,0.05,0.02,86.44,12.54
91.43,1.84,50.52,1.0611,3.48,197.8,1,0.05,0.02,88.4,12.58
56.81,8.01,48.83,0.892,9.19,194.4,2,0.05,0.02,91.38,12.76
90.61,6.28,52.64,0.8147,7.91,197.5,1,0.05,0.02,90.17,12.6
93.23,0.92,50.97,1.0195,2.98,197.5,0,0.05,0.02,88.82,12.51
70.96,1.99,47.46,0.9858,3.58,198.1,2,0.05,0.02,89.66,12.64
80.97,5.11,46.22,0.9651,7.09,202.0,1,0.05,0.02,88.48,12.54
74.24,8.55,45.68,0.9012,10.01,200.4,1,0.05,0.02,87.1,12.65
58.59,6.22,44.08,1.0251,7.74,201.0,2,0.05,0.02,87.5,12.61
64.7,2.69,48.31,0.6847,4.76,205.8,0,0.05,0.02,93.2,12.64
82.41,6.87,46.46,1.0091,8.45,206.7,2,0.05,0.02,88.08,12.63
80.51,6.03,50.67,0.8538,7.57,205.3,1,0.05,0.02,91.8,12.8
54.36,6.85,46.06,0.871,8.37,204.0,1,0.05,0.02,87.63,12.56
84.87,2.35,50.3,1.0554,4.22,209.7,1,0.05,0.02,91.31,12.68
96.96,6.48,52.37,1.009,7.94,207.9,2,0.05,0.02,88.56,12.76
54.53,9.41,48.02,0.589,10.5,208.6,2,0.05,0.02,92.31,12.59
61.31,9.87,48.42,0.7712,11.11,210.1,2,0.05,0.02,90.08,12.67
69.87,4.06,47.78,1.048,5.75,212.9,1,0.05,0.02,89.66,12.68
65.49,5.15,45.64,1.078,6.82,214.6,0,0.05,0.02,87.39,12.75
89.96,8.57,49.73,0.8418,9.91,214.7,2,0.05,0.02,90.65,12.72
84.76,4.04,51.35,0.928,6.2,215.3,0,0.05,0.02,89.15,12.62
95.34,3.26,49.72,1.0808,4.89,214.3,1,0.05,0.02,85.02,12.55
93.46,3.87,52.69,0.9804,5.02,218.1,0,0.05,0.02,87.57,12.65
84.08,6.59,48.34,1.1218,7.84,216.6,0,0.05,0.02,85.2,12.5
98.77,1.11,51.42,0.9251,3.07,219.5,1,0.05,0.02,86.9,12.7
53.28,9.56,48.36,0.7986,10.59,221.3,1,0.05,0.02,91.77,12.74
80.17,5.69,49.76,0.8176,7.23,221.4,1,0.05,0.02,90.81,12.65
62.74,4.33,45.43,0.8412,6.0,222.6,2,0.05,0.02,87.85,12.66
57.44,5.44,46.84,0.7813,7.43,223.1,0,0.05,0.02,89.11,12.48
57.3,6.03,47.71,0.9682,7.7,221.6,0,0.05,0.02,89.07,12.52
68.55,1.8,46.21,0.9597,3.67,225.3,1,0.05,0.02,87.97,12.57
81.4,9.41,50.62,1.0246,10.59,227.6,1,0.05,0.02,90.39,12.74
67.27,5.4,48.25,1.1501,6.82,224.8,2,0.05,0.02,89.36,12.69
69.75,8.36,45.64,1.0236,9.48,228.8,1,0.05,0.02,87.3,12.74
90.91,3.35,48.39,1.017,5.3,229.0,2,0.05,0.02,86.59,12.94
51.77,1.93,46.23,0.7744,3.89,229.8,0,0.05,0.02,92.19,12.5
58.47,1.53,48.39,1.0376,3.2,229.7,1,0.05,0.02,86.9,12.58
51.57,0.74,43.95,1.0351,2.64,230.6,2,0.05,0.02,86.91,12.94
90.23,5.23,52.52,1.0864,6.98,233.8,0,0.05,0.02,85.35,12.54
75.42,5.41,50.07,0.8759,6.99,232.7,0,0.05,0.02,86.55,12.72
96.9,4.16,49.94,0.9264,5.9,236.7,2,0.05,0.02,89.51,12.6
52.48,5.2,47.69,0.798,6.99,236.0,1,0.05,0.02,97.03,12.5
58.81,3.79,48.43,0.9406,5.55,235.3,1,0.05,0.02,89.15,12.8
96.97,4.2,51.18,1.094,5.85,237.2,2,0.05,0.02,82.16,12.48
94.88,1.49,54.11,0.843,3.58,238.8,2,0.05,0.02,93.11,12.67
71.46,4.76,47.7,0.9766,6.46,238.9,1,0.05,0.02,88.3,12.68
63.37,5.1,48.21,0.9178,6.48,238.4,2,0.05,0.02,86.65,12.71
67.43,7.81,49.4,0.9497,9.03,241.5,2,0.05,0.02,89.33,12.68
82.15,1.91,50.24,0.9065,4.0,244.5,2,0.05,0.02,91.88,12.65
91.83,1.96,51.65,0.9091,3.55,242.0,0,0.05,0.02,91.21,12.7
94.02,3.69,50.76,1.1519,5.65,244.1,1,0.05,0.02,84.54,12.74
90.84,2.71,52.39,0.9829,4.71,246.8,2,0.05,0.02,89.73,12.81
86.05,3.25,48.92,0.8306,5.33,247.1,0,0.05,0.02,88.7,12.74
81.23,0.92,49.91,1.0255,2.92,248.0,2,0.05,0.02,86.7,12.72
82.54,8.03,51.94,0.8806,9.74,251.0,1,0.05,0.02,88.09,12.56
92.09,4.87,52.28,0.8447,6.54,251.6,0,0.05,0.02,89.62,12.78
50.7,1.65,48.28,0.9966,3.8,252.7,0,0.05,0.02,90.47,12.62
59.64,5.61,46.38,0.994,7.15,251.2,2,0.05,0.02,88.65,12.73
89.51,1.43,50.32,1.1993,3.74,251.9,2,0.05,0.02,86.58,12.58
52.91,9.0,45.78,0.8378,10.08,252.5,0,0.05,0.02,90.41,12.68
66.77,1.9,47.5,0.8396,3.78,255.4,1,0.05,0.02,86.39,12.61
95.77,3.26,51.34,1.009,4.6,253.3,1,0.05,0.02,86.28,12.64
84.79,8.28,52.63,0.9929,9.42,256.9,1,0.05,0.02,89.67,12.64
93.96,0.99,50.02,0.9963,2.86,255.1,0,0.05,0.02,88.81,12.74
70.69,8.43,47.85,0.8157,9.73,258.1,1,0.05,0.02,93.37,12.74
64.5,8.56,46.39,0.854,9.72,258.9,2,0.05,0.02,90.98,12.7
